screen_id,hit,coverage,n_genes,n_hit,scored_frac,phenotype,pmid
161,False,FULL,19674,3053,1.0,regulation of signal transduction phenotype,29290584
163,True,FULL,19674,3020,1.0,regulation of signal transduction phenotype,29290584
165,True,FULL,19674,2383,1.0,regulation of signal transduction phenotype,29290584
167,True,FULL,19674,2377,1.0,regulation of signal transduction phenotype,29290584
345,True,FULL,22414,1516,1.0,cell proliferation,29459677
687,False,FULL,19590,9,1.0,tumorigenicity,30797773
1152,False,FULL,20664,486,1.0,protein/peptide accumulation,31209294
1398,False,FULL,19672,10,1.0,protein/peptide accumulation,31038839
1399,False,FULL,19672,10,1.0,protein/peptide accumulation,31038839
1438,False,FULL,5382,895,1.0,response to virus,33087464
1440,False,FULL,20646,477,1.0,protein/peptide accumulation,31209294
1468,False,FULL,22619,6,1.0,cell cycle progression,33185187
1469,False,FULL,22619,4,1.0,cell cycle progression,33185187
1470,False,FULL,22619,6,1.0,cell cycle progression,33185187
1481,False,FULL,19668,490,1.0,protein/peptide accumulation,32640256
1482,False,FULL,19668,254,1.0,protein/peptide accumulation,32640256
1483,True,FULL,19674,1497,1.0,cell proliferation,32640256
1484,False,FULL,19674,22,1.0,cell proliferation,32640256
1489,True,HIT_ONLY,200,200,1.0,protein/peptide accumulation,32156810
1565,True,FULL,19674,1943,1.0,response to chemicals,33676427
1838,False,FULL,20229,1048,1.0,cell proliferation,31509742
1839,False,FULL,20570,1066,1.0,protein/peptide accumulation,31509742
1888,False,FULL,22898,372,1.0,phagocytosis,34497417
1889,False,FULL,22893,38,1.0,phagocytosis,34497417
1890,False,FULL,22894,24,1.0,phagocytosis,34497417
2049,False,FULL,20144,9,1.0,response to bacteria,33513212
2307,False,FULL,19674,1303,1.0,response to chemicals,36396656
2308,True,FULL,19674,3483,1.0,response to chemicals,36396656
2403,False,FULL,19673,126,1.0,protein/peptide accumulation,36772830
2411,True,FULL,2643,2643,1.0,cell proliferation,34879274
2412,True,HIT_ONLY,1555,1555,1.0,cell proliferation,34879274
2469,False,FULL,19648,2171,1.0,cell viability,10.1101/2025.08.26.672429
2477,True,FULL,19674,4342,1.0,cell proliferation,37059858
